Category,Category_display,Channel,Channel_display
BOUILLON(BUN),Bouillon,Coops,Coops
BOUILLONS - FLAVOURINGS,Bouillon,Detergent Shops,Detergent Shop
DEODORANT,Deodorants,KIOSKS/HABERDASHERIES,Kiosk
DEODORANTS,Deodorants,LARGE GROCER,Large Grocery
DEODORANTS(DEO),Deodorants,LARGE GROCERIES,Large Grocery
FABRIC SENSATIONS,Fabric Sensations,Large Grocery,Large Grocery
DETERGENTS,Fabric Solutions,MODERN TRADE,Modern Trade
FABRIC SOLUTIONS,Fabric Solutions,MODERN TRADE (MT),Modern Trade
TOTAL DETERGENTS,Fabric Solutions,OTHER SUPERMARKET\SELF SERVICE,Other Supermarket - Self Service
TOTAL FABRIC SOLUTIONS,Fabric Solutions,PHARMACIES,Pharmacy
FACE CARE,Face Care,PHARMACY,Pharmacy
Any Shampoo,Hair Care,SELF SERVICE,Self Service
HAIR CARE,Hair Care,SMALL GROCERIES,Small Grocery
SHAMPOO,Hair Care,Small Grocery,Small Grocery
SHAMPOOS,Hair Care,Supermarket,Supermarket
SHAMPOOS(SH),Hair Care,SUPERMARKET/KEY ACCOUNT,Supermarket
TOTAL HAIR CARE,Hair Care,SUPERMARKETS,Supermarket
HAND & BODY,Hand & Body,Total,Total
TOTAL HOUSE HOLD CLEANERS,Household Cleaning,TOTAL CHAINS,Chains
TOTAL HOUSEHOLD CLEANERS,Household Cleaning,TOTAL EGYPT,Total
TOOTHPASTE,Oral Toothpaste,TOTAL LARGE GROCERY,Large Grocery
TOOTHPASTE & MOUTHWASH,Oral Toothpaste,TOTAL LEBANON,Total
TOOTHPASTE(TP),Oral Toothpaste,TOTAL MODERN TRADE,Modern Trade
TOOTHPASTES,Oral Toothpaste,TOTAL PHARMACY,Pharmacy
Any Toilet Sp/Sh.Gels,Skin Cleansing,TOTAL SAUDI ARABIA,Total
SKIN CLEANSING,Skin Cleansing Excl. HS,TOTAL SELF SERVICE,Self Service
TOILET SOAP,Skin Cleansing Excl. HS,TOTAL SMALL GROCERY,Small Grocery
TOTAL SKIN CLEANSING,Skin Cleansing Excl. HS,TOTAL SUPERMARKET,Supermarket
TOTAL TOILET SOAP & SHOWER GEL,Skin Cleansing,TOTAL TRADITIONAL TRADE,Traditional Trade
TEA,Tea,TOTAL UAE,Total
TEA(TEA),Tea,TRADITIONAL TRADE,Traditional Trade
TOOTHPASTE&MOUTHWASHES,Oral Toothpaste,TRADITIONAL TRADE (TT),Traditional Trade
,,IMT/LARGE/MEDIUM GROCERIES,Imt/Large/Medium Grocery
,,MT CHAINS,MT Chains
,,SMALL GROCERIES,Small Grocery
,,TOTAL MOROCCO EXCLUDING PBS,Total
,,TOTAL RURAL,Rural
,,TOTAL LARGE GROCERIES,Large Grocery
,,TOTAL SMALL GROCERIES,Small Grocery
,,KIOSKS/HABERDASHERIES/MEKLA,Kiosk
,,PERFUMERIES,Perfumeries
,,TOTAL TRADITIONAL,Traditional Trade
,,TOTAL MOROCCO,Total
,,TOTAL COOPS,Coops
,,TOTAL JORDAN,Total
,,TOTAL SUPERMARKETS,Supermarket
,,OTHER SUPERMARKET/SELF,Other Supermarket - Self Service
,,TRADITIONAL TRADE MBDs,Traditional Trade
,,TOTAL SELF SERVISE,Self Service
,,Total Algeria,Total
,,EGYPT,Total
,,TOTAL SUPERMAKETS,Supermarket
,,PERFUMERY,Perfumeries
,,SMALL GROCER,Small Grocery
,,OTHER SUPER/ SELF,Other Supermarket - Self Service
,,TOTAL CHAIN,Chains
