Original Market name,COUNTRY,Original Categories name,CATEGORY,Value in local Currency,Volume in Local Currency,RATE,RATE_MUL
TOTAL EGYPT,Egypt,SHAMPOOS(SH),SHAMPOOS(SH),Sales Value 1000000 LE,Sales Volume 1000 KGS/LTRS,18.5332,1
TOTAL MOROCCO,Morocco,SHAMPOOS,SHAMPOOS,Sales Value 100000MAD,Sales Volume 1000LT,10.81409,10
TOTAL EGYPT,Egypt,DEODORANTS(DEO),DEODORANTS(DEO),Sales Value 1000000 LE,Sales Volume 1000 KGS/LTRS,18.5332,1
TOTAL SAUDI ARABIA,KSA,DEODORANTS,DEODORANTS,Sales Value 100000SR,Sales Volume 1000 Ltrs,4.25949,10
TOTAL SAUDI ARABIA,KSA,FACE CARE,FACE CARE,Sales Value SR 100000,Sales Volume 1000 Kgs,4.25949,10
TOTAL SAUDI ARABIA,KSA,HAND & BODY,HAND & BODY,Sales Value SR 100000,Sales Volume 1000 Kgs,4.25949,10
TOTAL SAUDI ARABIA,KSA,TOOTHPASTE&MOUTHWASHES,TOOTHPASTE&MOUTHWASHES,Sales Value 100000SR,Sales Volume 1000 Ltrs,4.25949,10
TOTAL UAE,UAE,DEODORANTS,DEODORANTS,Sales Value 1000 AED,Sales Volume 1000 LTRS,4.16851,1000
TOTAL UAE,UAE,HAND & BODY,HAND & BODY,Sales Value 1000 AED,Sales Volume 1000 KGS,4.16851,1000
TOTAL UAE,UAE,TOOTHPASTE & MOUTHWASH,TOOTHPASTE & MOUTHWASH,Sales Value 1000 AED,Sales Volume 1000 LTRS,4.16851,1000
TOTAL UAE,UAE,TOTAL HAIR CARE,TOTAL HAIR CARE,Sales Value 1000 AED,Sales Volume 1000 LTRS,4.16851,1000
EGYPT,Egypt,TOOTHPASTE(TP),TOOTHPASTE(TP),Sales Value 1000000 LE,Sales Volume 1000 Ltrs,18.5332,1
TOTAL SAUDI ARABIA,KSA,HAIR CARE,HAIR CARE,Sales Value 100000SR,Sales Volume 1000 Ltrs,4.25949,10
TOTAL LEBANON,Lebanon,SHAMPOO,SHAMPOO,Sales Value (1M LL),Sales Volume (1000 LTR),1716,1
TOTAL JORDAN,Jordan,Any Shampoo,Any Shampoo,Sales Value(1000 JD),Sales Volume(1000 LTRS),0.80479,1000
TOTAL LEBANON,Lebanon,DEODORANT,DEODORANT,Sales Value (1M LL),Sales Volume (1000 LTR),1716,1
TOTAL UAE,UAE,FACE CARE,FACE CARE,Sales Value 1000 AED,Sales Volume 1000 KGS,4.16851,1000
TOTAL LEBANON,Lebanon,TOOTHPASTE,TOOTHPASTE,Sales Value (1M LL),Sales Volume (1000 LTR),1716,1
TOTAL EGYPT,Egypt,TOTAL TOILET SOAP & SHOWER GEL,TOTAL TOILET SOAP & SHOWER GEL,Sales Value 1000000 LE,Sales Volume 1000 KGS/LTRS,18.5332,1
TOTAL JORDAN,Jordan,Any Toilet Sp/Sh.Gels,Any Toilet Sp/Sh.Gels,Sales Value (1000 JD),Sales Volume (1000 KGS),0.80479,1000
TOTAL SAUDI ARABIA,KSA,SKIN CLEANSING,SKIN CLEANSING,Sales Value 100000 SR,Sales Volume 1000 Kgs/Ltrs,4.25949,10
